0:0:0:0:0:0:0:1 - - [04/Mar/2025:18:13:04 +0800] "GET /ourbookshop/ HTTP/1.1" 200 1745
0:0:0:0:0:0:0:1 - - [04/Mar/2025:18:13:06 +0800] "GET /ourbookshop/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2025:18:13:18 +0800] "POST /ourbookshop/login HTTP/1.1" 200 71
0:0:0:0:0:0:0:1 - - [04/Mar/2025:18:13:42 +0800] "POST /ourbookshop/login HTTP/1.1" 200 71
0:0:0:0:0:0:0:1 - - [04/Mar/2025:18:14:04 +0800] "GET /ourbookshop/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2025:18:14:10 +0800] "POST /ourbookshop/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2025:18:14:10 +0800] "GET /ourbookshop/home.html HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [04/Mar/2025:18:36:06 +0800] "GET /ourbookshop/ HTTP/1.1" 200 1745
0:0:0:0:0:0:0:1 - - [04/Mar/2025:18:36:08 +0800] "GET /ourbookshop/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2025:18:36:38 +0800] "POST /ourbookshop/register HTTP/1.1" 200 120
0:0:0:0:0:0:0:1 - - [04/Mar/2025:18:37:01 +0800] "GET /ourbookshop/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2025:18:37:16 +0800] "POST /ourbookshop/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2025:18:37:16 +0800] "GET /ourbookshop/home.html HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [04/Mar/2025:20:07:31 +0800] "GET /ourbookshop/ HTTP/1.1" 200 1745
0:0:0:0:0:0:0:1 - - [04/Mar/2025:20:07:33 +0800] "GET /ourbookshop/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2025:20:07:52 +0800] "POST /ourbookshop/register HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [04/Mar/2025:21:11:36 +0800] "GET /ourbookshop/ HTTP/1.1" 200 1955
0:0:0:0:0:0:0:1 - - [04/Mar/2025:21:11:39 +0800] "GET /ourbookshop/home.html HTTP/1.1" 200 2248
0:0:0:0:0:0:0:1 - - [04/Mar/2025:21:12:28 +0800] "GET /ourbookshop/genre.html?genre=Fiction HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [04/Mar/2025:21:59:22 +0800] "GET /ourbookshop/ HTTP/1.1" 200 1955
0:0:0:0:0:0:0:1 - - [04/Mar/2025:21:59:25 +0800] "GET /ourbookshop/home.html HTTP/1.1" 200 3622
0:0:0:0:0:0:0:1 - - [04/Mar/2025:22:01:06 +0800] "GET /ourbookshop/genre?genre=Fiction HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [04/Mar/2025:22:01:08 +0800] "GET /ourbookshop/genre?genre=Science HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [04/Mar/2025:22:05:11 +0800] "GET /ourbookshop/home.html HTTP/1.1" 200 2239
0:0:0:0:0:0:0:1 - - [04/Mar/2025:22:12:37 +0800] "GET /ourbookshop/ HTTP/1.1" 200 1955
0:0:0:0:0:0:0:1 - - [04/Mar/2025:22:12:39 +0800] "GET /ourbookshop/home.html HTTP/1.1" 200 1882
0:0:0:0:0:0:0:1 - - [04/Mar/2025:22:12:42 +0800] "GET /ourbookshop/home HTTP/1.1" 200 323
0:0:0:0:0:0:0:1 - - [04/Mar/2025:22:20:46 +0800] "GET /ourbookshop/ HTTP/1.1" 200 1292
0:0:0:0:0:0:0:1 - - [04/Mar/2025:22:33:57 +0800] "GET /ourbookshop/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2025:22:33:57 +0800] "GET /ourbookshop/login.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2025:22:33:57 +0800] "GET /ourbookshop/login.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2025:22:33:57 +0800] "GET /ourbookshop/login.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2025:22:33:57 +0800] "GET /ourbookshop/login.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2025:22:33:57 +0800] "GET /ourbookshop/login.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2025:22:33:57 +0800] "GET /ourbookshop/login.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2025:22:33:57 +0800] "GET /ourbookshop/login.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2025:22:33:57 +0800] "GET /ourbookshop/login.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2025:22:33:57 +0800] "GET /ourbookshop/login.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2025:22:33:57 +0800] "GET /ourbookshop/login.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2025:22:33:57 +0800] "GET /ourbookshop/login.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2025:22:33:57 +0800] "GET /ourbookshop/login.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2025:22:33:57 +0800] "GET /ourbookshop/login.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2025:22:33:57 +0800] "GET /ourbookshop/login.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2025:22:33:57 +0800] "GET /ourbookshop/login.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2025:22:33:57 +0800] "GET /ourbookshop/login.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2025:22:33:57 +0800] "GET /ourbookshop/login.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2025:22:33:57 +0800] "GET /ourbookshop/login.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2025:22:33:57 +0800] "GET /ourbookshop/login.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2025:22:33:58 +0800] "GET /ourbookshop/login.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2025:22:33:58 +0800] "GET /ourbookshop/login.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2025:22:33:58 +0800] "GET /ourbookshop/login.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2025:22:33:58 +0800] "GET /ourbookshop/login.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2025:22:33:58 +0800] "GET /ourbookshop/login.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2025:22:33:58 +0800] "GET /ourbookshop/login.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2025:22:33:58 +0800] "GET /ourbookshop/login.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2025:22:33:58 +0800] "GET /ourbookshop/login.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2025:22:33:58 +0800] "GET /ourbookshop/login.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2025:22:33:58 +0800] "GET /ourbookshop/login.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2025:22:33:58 +0800] "GET /ourbookshop/login.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2025:22:33:58 +0800] "GET /ourbookshop/login.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2025:22:33:58 +0800] "GET /ourbookshop/login.html HTTP/1.1" 302 -
